"","Place","Value"
"1","Boston, MA",213.3
"2","Denver, CO",61.7
"3","Fort Worth (Tarrant County), TX",20
"4","Houston, TX",63.6
"5","Kansas City, MO",110.7
"6","Las Vegas (Clark County), NV",180.4
"7","Los Angeles, CA",34.9
"8","Miami (Miami-Dade County), FL",47.7
"9","Minneapolis, MN",294.8
"10","Oakland (Alameda County), CA",5.2
"11","Phoenix, AZ",84.2
"12","Portland (Multnomah County), OR",144
"13","San Antonio, TX",243.5
"14","San Diego County, CA",136.3
"15","U.S. Total",154.3
"16","Washington, DC",12
